date,value
17/08/22,0
18/08/22,0
19/08/22,0
20/08/22,0
21/08/22,0
22/08/22,0
23/08/22,0
24/08/22,0
25/08/22,0
26/08/22,0
27/08/22,0
28/08/22,0
29/08/22,0
30/08/22,0
31/08/22,0
01/09/22,0
02/09/22,0
03/09/22,0
04/09/22,0
05/09/22,0
06/09/22,0
07/09/22,0
08/09/22,0
09/09/22,0
10/09/22,0
11/09/22,0
12/09/22,0
13/09/22,0
14/09/22,0
15/09/22,0
16/09/22,0
17/09/22,0
18/09/22,0
19/09/22,0
20/09/22,0
21/09/22,0
22/09/22,0
23/09/22,0
24/09/22,0
25/09/22,0
26/09/22,0
27/09/22,0
28/09/22,0
29/09/22,0
30/09/22,0
01/10/22,0
02/10/22,0
03/10/22,0
04/10/22,0
05/10/22,0
06/10/22,0
07/10/22,0
08/10/22,0
09/10/22,0
10/10/22,0
11/10/22,0
12/10/22,0
13/10/22,0
14/10/22,0
15/10/22,0
16/10/22,0
17/10/22,0
18/10/22,0
19/10/22,0
20/10/22,0
21/10/22,0
22/10/22,0
23/10/22,0
24/10/22,0
25/10/22,0
26/10/22,0
27/10/22,0
28/10/22,0
29/10/22,0
30/10/22,0
31/10/22,0
01/11/22,0
02/11/22,0
03/11/22,0
04/11/22,0
05/11/22,0
06/11/22,0
07/11/22,0
08/11/22,0
09/11/22,0
10/11/22,0
11/11/22,0
12/11/22,0
13/11/22,0
14/11/22,0
15/11/22,0
16/11/22,0
17/11/22,0
18/11/22,0
19/11/22,0
20/11/22,0
21/11/22,0
22/11/22,0
23/11/22,0
24/11/22,0
25/11/22,0
26/11/22,0
27/11/22,0
28/11/22,0
29/11/22,0
30/11/22,0
01/12/22,0
02/12/22,0
03/12/22,0
04/12/22,0
05/12/22,0
06/12/22,0
07/12/22,0
08/12/22,0
09/12/22,0
10/12/22,0
11/12/22,0
12/12/22,0
13/12/22,0
14/12/22,0
15/12/22,0
16/12/22,0
17/12/22,0
18/12/22,0
19/12/22,0
20/12/22,0
21/12/22,0
22/12/22,0
23/12/22,0
24/12/22,0
25/12/22,0
26/12/22,0
27/12/22,0
28/12/22,0
29/12/22,0
30/12/22,0
31/12/22,0
